alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.1,0.3,0.30000099999999996,100,0.2421593746981586,0.021635815453919603,0
0.3,0.2,0.41666700000000007,5,0.2378631791837631,0.0,2
0.1,0.1,0.35000099999999995,20,0.23024059614539066,0.0,2
0.5,0.4,0.400001,50,0.22818460940727256,0.0400727926082107,0
0.5,0.2,0.200001,20,0.22622825261272206,0.014052678428465706,0
0.3,0.4,0.400001,100,0.22476993976744675,0.02002620856407518,0
0.5,0.4,0.400001,10,0.22465621051228576,0.02347850245653614,0
0.3,0.1,0.35000099999999995,5,0.22449093240532791,0.0,2
0.7,0.4,0.400001,50,0.22078601653602184,0.012416312949183389,0
0.3,0.4,0.466667,10,0.20658028848621984,0.0,2
0.1,0.1,0.33333433333333323,5,0.18786196691606077,0.0,2
0.1,0.3,0.466667,5,0.1789590044195085,0.0,2
0.1,0.05,0.454152712688298,5,,,3
0.1,0.05,0.454152712688298,10,,,3
0.1,0.2,0.5,5,,,3
0.1,0.2,0.5,10,,,3
0.1,0.2,0.5,20,,,3
0.1,0.3,0.5,20,,,3
0.1,0.4,0.5,5,,,3
0.1,0.4,0.5,10,,,3
0.1,0.4,0.5,20,,,3
0.3,0.3,0.5,5,,,3
0.3,0.4,0.5,5,,,3
