alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.1,0.1,0.24423344013484863,10,0.5817385030245953,0.04344919338787278,0
0.5,0.3,0.30000099999999996,20,0.5815447924059554,0.053801133727663736,0
0.5,0.05,0.14423344013484865,100,0.5814245239367463,0.06396239352514843,0
0.1,0.05,0.19423344013484867,10,0.5810112843885015,0.030618035369404814,0
0.7,0.2,0.200001,50,0.5806302378164807,0.008073691839197903,0
0.3,0.05,0.14423344013484865,5,0.5805539513494299,0.02974223909982088,0
0.5,0.3,0.30000099999999996,10,0.5804781569313229,0.023082318491323747,0
0.3,0.4,0.45000066666666666,10,0.5796016524335033,0.008798563664213999,1
0.3,0.05,0.14423344013484865,50,0.5788337382654113,0.040081319855772304,0
0.7,0.05,0.14423344013484865,20,0.5760263487710956,0.06881908694956511,0
0.1,0.4,0.4333343333333333,50,0.5759038487392879,0.04833349873426969,0
0.5,0.1,0.14423344013484865,50,0.5755335433975218,0.011624554107579226,0
0.3,0.2,0.200001,100,0.5748826252841033,0.06229666879958794,0
0.1,0.3,0.3166676666666666,50,0.5747954447801665,0.057519648614604575,0
0.1,0.1,0.14423344013484865,50,0.5746809928947542,0.05956841108464474,0
0.5,0.1,0.14423344013484865,100,0.5736192255628763,0.06101631026028677,0
0.3,0.2,0.200001,20,0.5732444158543689,0.057574552946891226,0
0.3,0.3,0.30000099999999996,5,0.572889899225664,0.03188042548726689,0
0.7,0.3,0.30000099999999996,100,0.5727063495023196,0.03884744067954977,0
0.5,0.1,0.14423344013484865,5,0.5724986128802553,0.05567951876843881,0
0.1,0.4,0.400001,100,0.5714917064155132,0.06270188288015217,0
0.1,0.05,0.14423344013484865,20,0.5714538964728414,0.04839836094885393,0
0.1,0.05,0.14423344013484865,100,0.5694309871178805,0.034056979787571995,0
0.3,0.2,0.200001,50,0.5693166352977187,0.047287046667459726,0
0.7,0.05,0.14423344013484865,5,0.5687641447638255,0.058495204491727286,0
0.5,0.2,0.200001,10,0.5683332344656252,0.03901285356915809,0
0.5,0.2,0.200001,50,0.5666743671412858,0.02647474422534498,0
0.5,0.1,0.14423344013484865,20,0.5662898191711635,0.039938273015814436,0
0.7,0.1,0.14423344013484865,100,0.5658360086712753,0.028829324093739256,0
0.3,0.1,0.14423344013484865,10,0.5653066420332682,0.06174604112563553,0
0.1,0.3,0.30000099999999996,20,0.5643873927753623,0.044248377564808754,0
0.3,0.05,0.14423344013484865,100,0.5611030314466511,0.046833343901325444,0
0.3,0.05,0.14423344013484865,20,0.5601109109611072,0.034674817762030616,0
