alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.3,0.1,0.21666766666666662,10,0.27060522914834556,0.02016959456513928,1
0.7,0.1,0.100001,100,0.2704876123490385,0.023683575069982903,0
0.5,0.3,0.3166676666666666,5,0.27046897154541155,0.036116757954973856,0
0.7,0.3,0.30000099999999996,20,0.26848740698234574,0.013160084626074877,0
0.3,0.05,0.054152712688298056,100,0.2667794162152664,0.03104661208486115,0
0.3,0.05,0.054152712688298056,50,0.266144510301009,0.02487769355879654,0
0.5,0.1,0.100001,5,0.26596006358730107,0.021273116239550232,0
0.5,0.05,0.054152712688298056,100,0.2651586322268487,0.013374062500698317,0
0.7,0.4,0.400001,20,0.26432374216106735,0.029483270880606156,0
0.3,0.2,0.25000100000000003,10,0.26412938775803324,0.041936060822146334,0
0.7,0.1,0.100001,5,0.26395333632418877,0.030074760098638544,0
0.3,0.1,0.100001,50,0.2636713463129011,0.0166301804742162,0
0.7,0.05,0.054152712688298056,10,0.2635727401942289,0.02449831687802792,0
0.5,0.1,0.100001,50,0.26293519597605686,0.0189431406742802,0
0.1,0.3,0.4333336666666667,50,0.2629313977017595,0.0,2
0.1,0.2,0.30000066666666664,20,0.26214390730879716,0.026892777448077346,1
0.5,0.05,0.054152712688298056,20,0.261700207604959,0.02145427031785758,0
0.7,0.1,0.100001,50,0.25973341422107804,0.006060884442061042,0
0.5,0.1,0.100001,100,0.2594677706387701,0.02548370007311791,0
0.5,0.2,0.200001,5,0.2593383825806049,0.04038299655852026,0
0.5,0.2,0.200001,50,0.2589354933049173,0.02271450791977643,0
0.5,0.4,0.45000066666666666,5,0.2564254676111227,0.04473001526821276,1
0.5,0.2,0.200001,100,0.25622575916249074,0.039822315223660164,0
0.05,0.05,0.07081937935496473,100,0.2562236915347556,0.027211572688522662,0
0.3,0.1,0.100001,100,0.256173281937035,0.02858418766962286,0
0.3,0.3,0.30000099999999996,100,0.25603071144320316,0.010901366700310746,0
0.1,0.1,0.100001,50,0.2557218967873903,0.020855931464936774,0
0.7,0.2,0.200001,50,0.2556226574615464,0.048386167536585686,0
0.05,0.2,0.250001,100,0.2551757030068777,0.01724882900570491,0
0.1,0.05,0.07081937935496473,100,0.2549958067603209,0.019440763150030283,0
0.3,0.05,0.054152712688298056,20,0.25488647040289686,0.018094611675669503,0
0.05,0.1,0.100001,100,0.2545701977267967,0.02311564442368577,0
0.1,0.05,0.10415271268829807,50,0.2542413572227496,0.022367531660666296,0
0.5,0.05,0.054152712688298056,10,0.25318027884108063,0.009051343248310662,0
0.5,0.1,0.100001,10,0.25305008101166254,0.016910223363027388,0
0.3,0.4,0.43333400000000005,20,0.25182989180252346,0.015663034112516877,1
0.5,0.3,0.30000099999999996,20,0.2506347851662134,0.02248134076910345,0
0.5,0.1,0.100001,20,0.24772462741644197,0.01311601596306309,0
0.3,0.1,0.13333433333333333,20,0.24751596503260428,0.020295482684200377,0
0.1,0.05,0.23748604602163137,20,0.24573959481733681,0.01098320884558561,1
0.3,0.05,0.08748604602163139,10,0.24499870352061337,0.004091393725787563,0
0.3,0.05,0.18748604602163135,5,0.24453342255938076,0.009822462829964781,1
0.3,0.1,0.21666766666666662,5,0.24382782343399445,0.011186417057482545,0
0.7,0.1,0.100001,20,0.24371261447858097,0.023860543082096963,0
0.3,0.3,0.383334,20,0.24333093389432364,0.008551872151048509,1
0.1,0.1,0.100001,100,0.24270658950492474,0.016296762287519473,0
0.5,0.4,0.400001,50,0.24241594685817494,0.02127868840583782,0
0.5,0.05,0.054152712688298056,5,0.24155152735302257,0.010982914796071172,0
