stem,n,prev,p,rho,typ,stability_method,pair_agg,pi_main,pi_inter,implied_pfer_main,implied_pfer_inter,chosen_total,stable_total,true_total,chosen_and_stable,chosen_and_true,stable_and_true,all_three,F1,precision,recall,TP,FP,FN,n_stable,all_three_rate,stable_true_rate,all_three_percent,stable_true_percent
simulated_dataset_250_0.05_500_0.0,250,0.05,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.05_500_0.5,250,0.05,500,0.5,mains,stability,,,,,,,1,10,,,0,,0.0,0.0,0.0,0,1,10,1,,0.0,,0.0
simulated_dataset_250_0.05_500_0.5,250,0.05,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.05_500_0.8,250,0.05,500,0.8,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_250_0.05_500_0.8,250,0.05,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.2_20_0.0,250,0.2,20,0.0,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_250_0.2_20_0.0,250,0.2,20,0.0,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_250_0.2_20_0.5,250,0.2,20,0.5,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_250_0.2_20_0.5,250,0.2,20,0.5,interactions,stability,,,,,,,50,10,,,8,,0.26666666666666666,0.16,0.8,8,42,2,50,,0.8,,80.0
simulated_dataset_250_0.2_20_0.8,250,0.2,20,0.8,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_250_0.2_20_0.8,250,0.2,20,0.8,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_250_0.2_500_0.0,250,0.2,500,0.0,mains,stability,,,,,,,7,10,,,1,,0.11764705882352941,0.14285714285714285,0.1,1,6,9,7,,0.1,,10.0
simulated_dataset_250_0.2_500_0.0,250,0.2,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.2_500_0.5,250,0.2,500,0.5,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_250_0.2_500_0.5,250,0.2,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.2_500_0.8,250,0.2,500,0.8,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_250_0.2_500_0.8,250,0.2,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.5_20_0.0,250,0.5,20,0.0,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_250_0.5_20_0.0,250,0.5,20,0.0,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_250_0.5_20_0.5,250,0.5,20,0.5,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_250_0.5_20_0.5,250,0.5,20,0.5,interactions,stability,,,,,,,50,10,,,7,,0.23333333333333334,0.14,0.7,7,43,3,50,,0.7,,70.0
simulated_dataset_250_0.5_20_0.8,250,0.5,20,0.8,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_250_0.5_20_0.8,250,0.5,20,0.8,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_250_0.5_500_0.0,250,0.5,500,0.0,mains,stability,,,,,,,4,10,,,4,,0.5714285714285714,1.0,0.4,4,0,6,4,,0.4,,40.0
simulated_dataset_250_0.5_500_0.0,250,0.5,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.5_500_0.5,250,0.5,500,0.5,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_250_0.5_500_0.5,250,0.5,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_250_0.5_500_0.8,250,0.5,500,0.8,mains,stability,,,,,,,12,10,,,3,,0.2727272727272727,0.25,0.3,3,9,7,12,,0.3,,30.0
simulated_dataset_250_0.5_500_0.8,250,0.5,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.05_20_0.0,500,0.05,20,0.0,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_500_0.05_20_0.0,500,0.05,20,0.0,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_500_0.05_20_0.5,500,0.05,20,0.5,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_500_0.05_20_0.5,500,0.05,20,0.5,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_500_0.05_20_0.8,500,0.05,20,0.8,mains,stability,,,,,,,16,10,,,6,,0.46153846153846156,0.375,0.6,6,10,4,16,,0.6,,60.0
simulated_dataset_500_0.05_20_0.8,500,0.05,20,0.8,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_500_0.05_500_0.0,500,0.05,500,0.0,mains,stability,,,,,,,5,10,,,1,,0.13333333333333333,0.2,0.1,1,4,9,5,,0.1,,10.0
simulated_dataset_500_0.05_500_0.0,500,0.05,500,0.0,interactions,stability,,,,,,,1,10,,,0,,0.0,0.0,0.0,0,1,10,1,,0.0,,0.0
simulated_dataset_500_0.05_500_0.5,500,0.05,500,0.5,mains,stability,,,,,,,1,10,,,1,,0.18181818181818182,1.0,0.1,1,0,9,1,,0.1,,10.0
simulated_dataset_500_0.05_500_0.5,500,0.05,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.05_500_0.8,500,0.05,500,0.8,mains,stability,,,,,,,1,10,,,0,,0.0,0.0,0.0,0,1,10,1,,0.0,,0.0
simulated_dataset_500_0.05_500_0.8,500,0.05,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.2_20_0.0,500,0.2,20,0.0,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_500_0.2_20_0.0,500,0.2,20,0.0,interactions,stability,,,,,,,50,10,,,8,,0.26666666666666666,0.16,0.8,8,42,2,50,,0.8,,80.0
simulated_dataset_500_0.2_20_0.5,500,0.2,20,0.5,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_500_0.2_20_0.5,500,0.2,20,0.5,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_500_0.2_20_0.8,500,0.2,20,0.8,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_500_0.2_20_0.8,500,0.2,20,0.8,interactions,stability,,,,,,,50,10,,,8,,0.26666666666666666,0.16,0.8,8,42,2,50,,0.8,,80.0
simulated_dataset_500_0.2_500_0.0,500,0.2,500,0.0,mains,stability,,,,,,,6,10,,,2,,0.25,0.3333333333333333,0.2,2,4,8,6,,0.2,,20.0
simulated_dataset_500_0.2_500_0.0,500,0.2,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.2_500_0.5,500,0.2,500,0.5,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_500_0.2_500_0.5,500,0.2,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.2_500_0.8,500,0.2,500,0.8,mains,stability,,,,,,,5,10,,,1,,0.13333333333333333,0.2,0.1,1,4,9,5,,0.1,,10.0
simulated_dataset_500_0.2_500_0.8,500,0.2,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.5_20_0.0,500,0.5,20,0.0,mains,stability,,,,,,,16,10,,,7,,0.5384615384615384,0.4375,0.7,7,9,3,16,,0.7,,70.0
simulated_dataset_500_0.5_20_0.0,500,0.5,20,0.0,interactions,stability,,,,,,,12,10,,,4,,0.36363636363636365,0.3333333333333333,0.4,4,8,6,12,,0.4,,40.0
simulated_dataset_500_0.5_20_0.5,500,0.5,20,0.5,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_500_0.5_20_0.5,500,0.5,20,0.5,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_500_0.5_20_0.8,500,0.5,20,0.8,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_500_0.5_20_0.8,500,0.5,20,0.8,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_500_0.5_500_0.0,500,0.5,500,0.0,mains,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.5_500_0.0,500,0.5,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.5_500_0.5,500,0.5,500,0.5,mains,stability,,,,,,,12,10,,,2,,0.18181818181818182,0.16666666666666666,0.2,2,10,8,12,,0.2,,20.0
simulated_dataset_500_0.5_500_0.5,500,0.5,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_500_0.5_500_0.8,500,0.5,500,0.8,mains,stability,,,,,,,4,10,,,1,,0.14285714285714285,0.25,0.1,1,3,9,4,,0.1,,10.0
simulated_dataset_500_0.5_500_0.8,500,0.5,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
